quality	second_url	first_url	dataset
BAD	https://saratov.mk.ru/social/2020/05/27/v-saratovskoy-oblasti-na-vremya-zakonchilas-chereda-dozhdlivykh-dney.html	https://tverigrad.ru/publication/posle-vyhodnyh-v-tverskoj-oblasti-rezko-poholodaet	0529
BAD	https://top68.ru/news/114229-zernouborochnye-kombayny-v-tambovskoy-oblasti-osnastyat-sistemoy-bespilotnogo-vozhdeniya	https://lenta.ru/news/2020/05/27/beton/	0529
BAD	http://ufacitynews.ru/news/2020/05/27/v-ufe-muzhchina-lishilsya-nedvizhimosti-stoimostyu-bolee-20-mln-rublej-iz-za-dolgov/	https://bk55.ru/news/article/168850/	0529
OK	https://www.obozrevatel.com/kiyany/crime/v-kieve-prohozhij-pogib-v-yame-vyiryitoj-remontnikami.htm	https://inforesist.org/v-kieve-obnaruzhili-telo-muzhchiny-v-kotlovane-s-vodoj-kotoryj-vyryli-kommunalshhiki/	0529
BAD	https://android-robot.com/v-bolnice-temperaturu-vrachej-na-vxode-proveryaet-robot/	https://realnoevremya.ru/news/175925-drkb-poluchila-200-zaschitnyh-schitkov-dlya-pacientov-s-covid-19	0529
OK	https://joinfo.ua/weather/1272050_Magnitnie-buri-segodnya-prognoz-27-maya-2020.html	https://tv.ua/trend/zozh/1848384-magnitnye-buri-segodnya-v-ukraine	0529
BAD	https://www.pnp.ru/social/v-rossii-koefficient-rasprostraneniya-covid-19-opustilsya-nizhe-edinicy.html	https://www.bnkomi.ru/data/news/112314/	0529
OK	https://www.intermedia.ru/news/347691	https://www.mk.ru/culture/2020/05/27/u-proekta-devushka-s-tatuirovkoy-drakona-budet-prodolzhenie.html	0529
BAD	https://topspb.tv/news/2020/05/28/pozharnye-za-polchasa-potushili-goryashie-garazhi-v-pargolovo/	https://piter.tv/event/pozhar_na_Kosmonavtov/	0529
BAD	https://vedtver.ru/news/society/v-kalyazine-na-pamyatnoy-tablichke-ispravili-oshibku-v-imeni-geroya-velikoy-otechestvennoy-voyny/	https://www.enisey.tv/news/post-22601/	0529
BAD	http://tvoygorodpskov.ru/2020/05/893405-covid-19-v-velikobritanii-v-gosudarstve-377-letalnih.html	https://lenta.ru/news/2020/05/27/coronavirusnewinfo/	0529
BAD	https://tass.ru/ekonomika/8574597	https://gubdaily.ru/news/v-karelii-predpriyatiyam-postradavshim-iz-za-pandemii-kompensiruyut-kommunalnye-platezhi/	0529
OK	https://meduza.io/news/2020/05/27/aeroekspress-snizit-stoimost-proezda-v-moskve-s-500-do-300-rubley	https://tvrain.ru/news/aeroekspress_snizit_stoimost_biletov_s_500_do_300_rublej-509542/	0529
BAD	https://from-ua.com/news/550261-s-ulic-ukraini-uberut-marshrutki-i-zapustyat-bolshie-avtobusi-v-rade-nazvali-srok.html	https://glavnoe.ua/news/n357027888-v-kieve-sozdadut-vremennye-dorozhki-dlja-velosipedov-i-elektrosamokatov	0529
OK	https://glasnarod.ru/rossiya/krym/324019-subektam-xozyajstvovaniya-yalty-napomnili-o-neobxodimosti-pogasit-zadolzhennost-po-zarplate-v-kratchajshie-sroki	http://www.c-inform.info/news/id/86150	0529
OK	http://dynamomania.com/news/531263-mbappe-liverpul---mashina-eto-zasluga-trenera-i-rezultat-raboty-na-trenirovkah	https://www.sports.ru/football/1085781367.html	0529
BAD	https://forpost-sz.ru/a/2020-05-27/peterburg-stal-liderom-po-indeksu-samoizolyacii-v-rossii	https://www.infpol.ru/214986-v-ulan-ude-nemnogo-povysilsya-uroven-samoizolyatsii/	0529
OK	https://www.rbc.ru/finances/27/05/2020/5ecbded79a794735961b2390	https://newvz.ru/info/185449.html	0529
BAD	https://runews24.ru/ekaterinburg/27/05/2020/f34840620f6fb0b3de20af631f8843c7	https://ria56.ru/posts/propavshaya-v-orenburzhe-semiletnyaya-devochka-pryatalas-v-ovrage.htm	0529
OK	https://www.rosbalt.ru/moscow/2020/05/27/1845697.html	https://www.mskagency.ru/materials/3007245	0529
BAD	https://www.euro-football.ru/article/30985/1004367968_sportivnyim_direktorom_moskovskogo_torpedo_mojet_stat_lyapin	https://www.sportsdaily.ru/news/boris-rapoport-pokinul-post	0529
OK	https://www.obozrevatel.com/crime/germaniya-otkazalas-vyidat-ukraine-onischenko-eks-nardep-uzhe-na-svobode.htm	https://nikcenter.org/newsItem/58623	0529
OK	https://sport.ua/news/489194-miron-markevich-komanda-shevchenko-mozhet-seryezno-zayavit-o-sebe-na-evro	https://telegraf.com.ua/sport-cat/futbol/5483922-markevich-drugogo-vyihoda-ne-byilo.html	0529
BAD	https://gubdaily.ru/news/uznali-kak-polikliniki-v-karelii-budut-rabotat-s-1-iyunya/	https://ura.news/news/1052433643	0529
OK	https://eadaily.com/ru/news/2020/05/27/severnaya-osetiya-pervoy-poluchila-pomoshch-ot-moskvy-dlya-borby-s-covid-19	https://newinform.com/region/msk/227546-pervye-brigady-vrachei-iz-moskvy-vyletyat-v-severnuyu-osetiyu	0529
OK	https://russian.rt.com/sport/news/750163-sbr-prezident-vybory	https://www.sportsdaily.ru/news/reshayushhee-dlya-dracheva-zasedanie	0529
BAD	http://obozvrn.ru/archives/108626	https://globalmsk.ru/news/id/40061	0529
BAD	https://www.gametech.ru/news/70375/	https://www.intermedia.ru/news/347681	0529
BAD	https://fakty.com.ua/ru/ukraine/20200527-koly-zakinchytsya-karantyn-v-ukrayini/	https://rus.lsm.lv/statja/novosti/obschestvo/litva-prodlila-karantin-do-16-iyunja.a361507/?utm_source=rss&utm_campaign=rss&utm_medium=links	0529
OK	https://sport.ua/news/489253-bundesliga-pobedy-fortuny-i-hoffenhayma-ocherednoe-fiasko-shalke	https://bombardir.ru/news/604667-Bundesliga-Hoffenhaym-vdesyaterom-pobedil-Keln-Shalke-s-noyabrya-ne-vyigryvaet-v-gostyah-i-drugie-rezultaty%20	0529
OK	https://www.sports.ru/football/1085790594.html	https://bombardir.ru/news/604672-RPL-mogut-pereimenovat-v-Vysshuyu-ligu-ili-Ligu-Rossii%20	0529
OK	https://ria-m.tv/news/194498/v_melitopole_na_ryinkah_uje_prodayut_arbuzyi_(foto).html	https://mig.com.ua/v-melitopole-na-rynkah-uzhe-prodajut-arbuzy/	0529
