quality	first_url	second_url	dataset
BAD	http://dorinfo.ru/star_detail.php?ELEMENT_ID=83075	https://fedpress.ru/news/24/nprojects/2507640	0529
OK	https://dontimes.news/29-maya-czeny-na-neft-brent-podnimalis-vyshe-38-za-barrel/	https://news.ru/economics/neft-brent-podorozhala-vyshe-38/	0529
OK	https://news.ru/society/peskov-otrastil-borodu/	https://ria.ru/20200529/1572202843.html	0529
BAD	https://www.drive2.ru/e/B8mrAEAABJw	https://adindex.ru/news/marketing/2020/05/29/282295.phtml	0529
OK	https://www.kommersant.ru/doc/4358833	https://rns.online/finance/TSB-nazval-rukovoditelei-novih-departamentov--2020-05-29/	0529
OK	https://www.euro-football.ru/article/30985/1004368394_yuriy_gazzaev_pokidaet_enisey	http://allsport-news.net/367235_yuriy_gazzaev_pokinul_post_glavnogo_trenera_eniseya.html	0529
OK	https://lb.ua/society/2020/05/29/458639_sutki_donbasse_okkupatsionnie.html	https://telegraf.com.ua/ukraina/mestnyiy/5485760-za-sutki-boeviki-sem-raz-otkryivali-ogon-na-donbasse.html	0529
OK	http://www.angi.ru/news/2881166-%D0%9D%D0%B0-%D1%82%D1%80%D0%B0%D1%81%D1%81%D0%B5-%D0%B2-%D0%AE%D0%B3%D1%80%D0%B5-%D0%B2%D0%B0%D1%85%D1%82%D0%BE%D0%B2%D0%B8%D0%BA%D0%B8-%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%82%D0%B8%D0%BB%D0%B8-%D0%BC%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D1%8F/	https://ugra-news.ru/article/yugorskie_vakhtoviki_vstretili_na_trasse_medvedya_video/	0529
OK	http://dynamomania.com/news/531516-prezident-lacio---o-vozobnovlenii-serii-a-eto-pobeda-ne-lotito-a-vsego-italyanskogo-futbola	https://football.ua/italy/422774-prezident-lacio-o-vozobnovlenii-serii-a-ehto-ne-pobeda-lotito-a-pobeda-vsego-italjanskogo-futbola.html	0529
OK	https://lezgigazet.ru/archives/161668	https://zamana.info/rubriki/news/obshestvo/94-obshestvo/11749-v-izberbash-pribyla-operativnaya-gruppa-mchs-rossii	0529
OK	https://ru.krymr.com/a/news-krym-sledkom-rassleduet-gibel-rebenka-na-pozare/30641755.html	http://www.c-inform.info/news/id/86215	0529
OK	https://isport.ua/football/1851262-byvshij-vratar-sbornoj-ukrainy-stanet-ekspertom-na-tk-futbol	https://sport.ua/news/489494-noviy-ekspert-znamenitiy-vratar-budet-rabotat-na-telekanalah-futbol	0529
OK	https://vogue.ua/article/fashion/brend/nedelya-vysokoy-mody-v-parizhe-proydet-onlayn.html	https://telegraf.com.ua/zhizn/moda-zhizn/5486652-nedelya-vyisokoy-modyi-v-parizhe-proydet-v-onlayn-formate.html	0529
BAD	https://dni.ru/polit/2020/5/29/451114.html	https://euro.com.ua/box/2020/05/29/ytkin-ne-ponimau-pochemy-pressa-prevratila-jizn-ysika-na-ad/	0529
